,0,1,2,3,4,5,6,7,8,9,median_p_value,corrected_p_value,Direction,Response
hsa-miR-425-3p,2.3778932475303684e-11,2.0668460841878906e-09,5.228592548346879e-10,6.715865931776176e-20,5.920848387643655e-17,1.7604655354759416e-11,1.3182086069253809e-11,5.287251683834294e-10,2.299862804145094e-10,1.5432641376837222e-09,1.2688260644490653e-10,3.565401241101874e-08,Decrease,1
hsa-miR-24-3p,3.622533327584077e-13,0.00023513666594899787,2.3527576485981105e-08,4.795220376998411e-13,1.1887451720965688e-10,1.4282469424470185e-07,5.2855729481138725e-08,9.651766866512578e-08,9.704407214192272e-10,1.268651322959518e-08,1.8107044857788144e-08,2.511165299851326e-06,Decrease,1
hsa-miR-503-5p,7.131717082414552e-08,6.511428788459633e-09,8.672333681241203e-09,7.534645599413402e-15,3.2059746342762967e-09,1.7077591924096516e-09,4.4946854215940136e-08,1.9914153631940976e-05,6.336811636283433e-07,5.028413056550035e-08,2.6809593948590668e-08,2.511165299851326e-06,Decrease,1
hsa-miR-146a-5p,2.1379997320837316e-13,1.9853792756628875e-07,1.93532580338937e-05,4.992659497906479e-11,4.3767843141880195e-12,1.6197638470421124e-07,1.0081558127707989e-06,1.1232893909972818e-05,8.21372761732317e-08,4.206780766474441e-08,1.2205683043872147e-07,8.574492338320184e-06,Decrease,1
hsa-miR-215-5p,6.118748605025306e-05,0.018400606728220373,9.824286283041195e-07,1.99771976703992e-08,1.4300824117757363e-08,4.440292076472315e-10,1.2056654433774296e-07,7.732863177084301e-08,0.009033866128967635,1.9568864602122894e-05,5.514975863209312e-07,3.099416435123633e-05,Increase,1
hsa-miR-3074-5p,1.246725399324413e-11,0.0071335722850131705,3.4437010959621045e-06,1.483237177548677e-09,1.2691540991839118e-07,4.7071599377716646e-05,4.722913573886768e-06,5.760581365357473e-06,2.8083482281912065e-07,8.340413977665247e-07,2.1388712468643146e-06,0.00010017047006147873,Decrease,1
hsa-miR-1180-3p,1.5386314026793917e-06,0.0033581549175231247,2.5277406724808444e-05,1.1056658531401649e-11,6.322472270001999e-08,2.138425717231365e-07,9.160046952393305e-06,5.462044326244806e-05,3.5283842306023795e-06,5.326858774665594e-05,6.3442155914978424e-06,0.0002546749401729848,Decrease,1
hsa-miR-425-5p,2.0461287200785583e-07,8.737935689351754e-05,9.490769840501954e-07,1.6311153390213228e-06,1.0551869767883619e-05,5.841935005746067e-06,0.0007044441507261833,0.0006888239958031718,0.0001495259964114049,6.104698997633209e-07,8.196902386814843e-06,0.00028791619633687133,Decrease,1
hsa-miR-6750-3p,2.1515837689377542e-07,9.37114385987656e-06,2.0341568475606634e-07,4.498903285014172e-06,2.8859823344818877e-05,0.0001748625815266514,0.0003007063946484488,0.0003052350645089259,1.353808891757219e-05,5.577489724588861e-05,2.1198956131195535e-05,0.0006618785192073273,Increase,1
hsa-miR-324-5p,2.970621536472784e-05,0.002999395115238355,1.3869621180680314e-06,3.8437412214816196e-07,3.139859811165463e-07,1.9060502297638586e-05,9.831011800604655e-08,0.00017664851589111014,0.0002165965058669792,5.6333810550841714e-05,2.4383358831183212e-05,0.0006851723831562482,Decrease,1
