,p_value,corrected_p_value,Direction,Response
hsa-miR-26b-3p,0.0422780334565402,0.9702907785962025,Increase,1
hsa-miR-30b-5p,0.03623639713053113,0.9702907785962025,Increase,1
hsa-miR-30c-5p,0.03714246552720725,0.9702907785962025,Increase,1
hsa-miR-342-5p,0.036845536237272804,0.9702907785962025,Decrease,1
hsa-miR-424-3p,0.048279354278228895,0.9702907785962025,Decrease,1
hsa-miR-505-3p,0.021101859544689995,0.9702907785962025,Increase,1
hsa-miR-5189-3p,0.01864077062221133,0.9702907785962025,Decrease,1
hsa-miR-6737-3p,0.04946159018790821,0.9702907785962025,Increase,1
hsa-miR-93-3p,0.037604150720461325,0.9702907785962025,Increase,1
hsa-miR-941,0.013006166582883996,0.9702907785962025,Decrease,1
