"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2"
"ACTR3B","0.0376","0.113","0.0381","1","hsa-miR-503-5p",""
"ADAM22","0.0241","0.113","0.0242","1","hsa-miR-451b",""
"ADAM9","0.0342","0.113","0.0346","1","hsa-miR-451b",""
"AHSA1","0.00691","0.113","0.00693","1","hsa-miR-503-5p",""
"AKAP12","0.0241","0.113","0.0242","1","hsa-miR-451b",""
"ALOX15","0.0320","0.113","0.0323","1","hsa-miR-451b",""
"ANK3","0.00921","0.113","0.00923","1","hsa-miR-503-5p",""
"ANLN","0.00576","0.113","0.00577","1","hsa-miR-503-5p",""
"AP2B1","0.0421","0.113","0.0427","1","hsa-miR-503-5p",""
"ARHGEF19","0.00576","0.113","0.00577","1","hsa-miR-503-5p",""
"ARMC12","0.0184","0.113","0.0185","1","hsa-miR-451b",""
"ASCC1","0.000358","0.113","0.0167","2","hsa-miR-503-5p","hsa-miR-451b"
"ATF6","0.0263","0.113","0.0265","1","hsa-miR-503-5p",""
"ATG7","0.0331","0.113","0.0335","1","hsa-miR-451b",""
"ATMIN","0.0297","0.113","0.0300","1","hsa-miR-425-3p",""
"ATP6V1B2","0.0421","0.113","0.0427","1","hsa-miR-503-5p",""
"BZW1","0.00943","0.113","0.0860","2","hsa-miR-451b","hsa-miR-503-5p"
"C1orf35","0.0263","0.113","0.0265","1","hsa-miR-425-3p",""
"CASK","0.0184","0.113","0.0185","1","hsa-miR-503-5p",""
"CCDC83","0.0252","0.113","0.0254","1","hsa-miR-503-5p",""
"CCND3","0.0331","0.113","0.0335","1","hsa-miR-503-5p",""
"CCNE1","0.0387","0.113","0.0392","1","hsa-miR-503-5p",""
"CCNG2","0.00576","0.113","0.00577","1","hsa-miR-503-5p",""
"CD40","0.00576","0.113","0.00577","1","hsa-miR-503-5p",""
"CDC14A","0.00806","0.113","0.00808","1","hsa-miR-503-5p",""
"CDC37L1","0.0331","0.113","0.0335","1","hsa-miR-503-5p",""
"CDC42SE2","0.0241","0.113","0.0242","1","hsa-miR-503-5p",""
"CDK12","0.0286","0.113","0.0289","1","hsa-miR-503-5p",""
"CDK17","0.0297","0.113","0.0300","1","hsa-miR-503-5p",""
"CERK","0.0421","0.113","0.0427","1","hsa-miR-503-5p",""
"CGN","0.0263","0.113","0.0265","1","hsa-miR-451b",""
"CHD3","0.0241","0.113","0.0242","1","hsa-miR-451b",""
"CKMT1A","0.00576","0.113","0.00577","1","hsa-miR-451b",""
"CLTC","0.0354","0.113","0.0358","1","hsa-miR-503-5p",""
"COA4","0.0376","0.113","0.0381","1","hsa-miR-451b",""
"CREG2","0.0309","0.113","0.0312","1","hsa-miR-451b",""
"CRTC1","0.0297","0.113","0.0300","1","hsa-miR-451b",""
"CTDSPL","0.0399","0.113","0.0404","1","hsa-miR-503-5p",""
"CTSA","0.0342","0.113","0.0346","1","hsa-miR-503-5p",""
"CTSD","0.00691","0.113","0.00693","1","hsa-miR-503-5p",""
"CUL4A","0.0206","0.113","0.0208","1","hsa-miR-451b",""
"CUZD1","0.00346","0.113","0.00346","1","hsa-miR-503-5p",""
"CYP26B1","0.0241","0.113","0.0242","1","hsa-miR-503-5p",""
"DCAF10","0.0365","0.113","0.0369","1","hsa-miR-503-5p",""
"DCLRE1A","0.00115","0.113","0.00115","1","hsa-miR-503-5p",""
"DDHD2","0.0229","0.113","0.0231","1","hsa-miR-503-5p",""
"DECR1","0.0252","0.113","0.0254","1","hsa-miR-503-5p",""
"DHCR7","0.0172","0.113","0.0173","1","hsa-miR-451b",""
"DHFR","0.00921","0.113","0.00923","1","hsa-miR-503-5p",""
"DLST","0.00921","0.113","0.00923","1","hsa-miR-503-5p",""
"DMTF1","0.0252","0.113","0.0254","1","hsa-miR-503-5p",""
"EFNB2","0.0421","0.113","0.0427","1","hsa-miR-503-5p",""
"EI24","0.0320","0.113","0.0323","1","hsa-miR-451b",""
"EMC2","0.0184","0.113","0.0185","1","hsa-miR-425-3p",""
"EPOR","0.0161","0.113","0.0162","1","hsa-miR-503-5p",""
"F11R","0.0309","0.113","0.0312","1","hsa-miR-451b",""
"FABP2","0.00576","0.113","0.00577","1","hsa-miR-451b",""
"FAM83C","0.0229","0.113","0.0231","1","hsa-miR-451b",""
"FARSA","0.0365","0.113","0.0369","1","hsa-miR-503-5p",""
"FGF2","0.00472","0.113","0.0606","2","hsa-miR-503-5p","hsa-miR-451b"
"FGF8","0.00231","0.113","0.00231","1","hsa-miR-503-5p",""
"FOXK1","0.0277","0.113","0.149","2","hsa-miR-503-5p","hsa-miR-425-3p"
"GABPB2","0.0309","0.113","0.0312","1","hsa-miR-425-3p",""
"GCN1","0.0149","0.113","0.0150","1","hsa-miR-425-3p",""
"GNAT1","0.0354","0.113","0.0358","1","hsa-miR-503-5p",""
"GPR35","0.0138","0.113","0.0139","1","hsa-miR-451b",""
"GREM2","0.0172","0.113","0.0173","1","hsa-miR-503-5p",""
"GSG1","0.0331","0.113","0.0335","1","hsa-miR-503-5p",""
"GTF2B","0.0365","0.113","0.0369","1","hsa-miR-451b",""
"HEXIM1","0.0252","0.113","0.0254","1","hsa-miR-503-5p",""
"HIST1H4C","0.0218","0.113","0.0219","1","hsa-miR-425-3p",""
"HNRNPK","0.0252","0.113","0.0254","1","hsa-miR-503-5p",""
"HOXD4","0.00806","0.113","0.00808","1","hsa-miR-451b",""
"IKBKB","0.0115","0.113","0.0115","1","hsa-miR-503-5p",""
"IQCE","0.0229","0.113","0.0231","1","hsa-miR-451b",""
"IRAK1BP1","0.0421","0.113","0.0427","1","hsa-miR-451b",""
"ISLR2","0.0218","0.113","0.0219","1","hsa-miR-425-3p",""
"KANK1","0.0229","0.113","0.0231","1","hsa-miR-503-5p",""
"KDM5C","0.0354","0.113","0.0358","1","hsa-miR-425-3p",""
"KIAA0355","0.0149","0.113","0.0150","1","hsa-miR-451b",""
"KIAA1671","0.0387","0.113","0.0392","1","hsa-miR-503-5p",""
"KIF5B","0.00379","0.113","0.0543","2","hsa-miR-503-5p","hsa-miR-451b"
"KPNA3","0.0376","0.113","0.0381","1","hsa-miR-503-5p",""
"LAMP2","0.0410","0.113","0.0416","1","hsa-miR-451b",""
"LANCL1","0.0184","0.113","0.0185","1","hsa-miR-503-5p",""
"LRWD1","0.0161","0.113","0.0162","1","hsa-miR-503-5p",""
"LURAP1L","0.0252","0.113","0.0254","1","hsa-miR-503-5p",""
"MDH2","0.0275","0.113","0.0277","1","hsa-miR-425-3p",""
"MRGBP","0.0376","0.113","0.0381","1","hsa-miR-503-5p",""
"MRPL10","0.0241","0.113","0.0242","1","hsa-miR-503-5p",""
"MSL1","0.0184","0.113","0.0185","1","hsa-miR-451b",""
"MT1E","0.0241","0.113","0.0242","1","hsa-miR-503-5p",""
"MYB","0.0275","0.113","0.0277","1","hsa-miR-503-5p",""
"MYDGF","0.0206","0.113","0.0208","1","hsa-miR-451b",""
"N4BP1","0.00182","0.113","0.0375","2","hsa-miR-451b","hsa-miR-503-5p"
"NAPG","0.0331","0.113","0.0335","1","hsa-miR-503-5p",""
"NCAPH","0.0354","0.113","0.0358","1","hsa-miR-451b",""
