"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"IRAK1","1.89e-8","0.0000799","0.0335","6","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-215-5p","hsa-miR-744-5p","hsa-miR-423-3p","hsa-miR-328-3p",""
"PA2G4","0.00000167","0.00352","0.0446","5","hsa-miR-146a-5p","hsa-miR-24-3p","hsa-miR-744-5p","hsa-miR-324-5p","hsa-miR-423-3p","",""
"IL1RL2","0.00000583","0.00616","0.0335","4","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-6511a-3p","hsa-miR-361-3p","","",""
"RPS2","0.00000549","0.00616","0.0558","5","hsa-miR-361-3p","hsa-miR-423-3p","hsa-miR-324-5p","hsa-miR-328-3p","hsa-miR-361-5p","",""
"PSMB5","0.0000129","0.0109","0.121","7","hsa-miR-423-3p","hsa-miR-30e-5p","hsa-miR-6741-3p","hsa-miR-361-3p","hsa-miR-3605-3p","hsa-miR-215-5p","hsa-miR-636"
"ARHGEF2","0.0000197","0.0139","0.0714","5","hsa-miR-744-5p","hsa-miR-423-3p","hsa-miR-328-3p","hsa-miR-3173-5p","hsa-miR-3184-5p","",""
"COPS7A","0.0000425","0.0224","0.0260","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-361-5p","","","",""
"MED22","0.0000425","0.0224","0.0260","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-425-5p","","","",""
"SLC25A3","0.0000674","0.0317","0.0298","3","hsa-miR-744-5p","hsa-miR-425-5p","hsa-miR-324-5p","","","",""
"DGCR6L","0.0000797","0.0337","0.0614","4","hsa-miR-423-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-361-3p","","",""
"AGPAT2","0.000120","0.0363","0.0112","2","hsa-miR-744-5p","hsa-miR-24-3p","","","","",""
"NUDT2","0.000120","0.0363","0.0112","2","hsa-miR-744-5p","hsa-miR-423-3p","","","","",""
"RPLP1","0.000114","0.0363","0.0669","4","hsa-miR-1180-3p","hsa-miR-744-5p","hsa-miR-423-3p","hsa-miR-3605-3p","","",""
"S100A12","0.000120","0.0363","0.0112","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","","","",""
"TACC3","0.000135","0.0379","0.0697","4","hsa-miR-744-5p","hsa-miR-324-5p","hsa-miR-24-3p","hsa-miR-425-5p","","",""
"AGO1","0.000182","0.0410","0.182","7","hsa-miR-503-5p","hsa-miR-744-5p","hsa-miR-146b-5p","hsa-miR-423-3p","hsa-miR-324-5p","hsa-miR-328-3p","hsa-miR-6511a-3p"
"EDC3","0.000158","0.0410","0.0725","4","hsa-miR-361-5p","hsa-miR-744-5p","hsa-miR-324-5p","hsa-miR-30e-5p","","",""
"HSPA1B","0.000172","0.0410","0.180","7","hsa-miR-744-5p","hsa-miR-146b-5p","hsa-miR-425-3p","hsa-miR-423-3p","hsa-miR-324-5p","hsa-miR-328-3p","hsa-miR-361-5p"
"IL1RAP","0.000194","0.0410","0.0409","3","hsa-miR-215-5p","hsa-miR-146a-5p","hsa-miR-146b-5p","","","",""
"THOP1","0.000194","0.0410","0.0409","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-425-5p","","","",""
"SFRP1","0.000213","0.0429","0.0781","4","hsa-miR-328-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-744-5p","","",""
"NCEH1","0.000239","0.0458","0.118","5","hsa-miR-361-5p","hsa-miR-215-5p","hsa-miR-744-5p","hsa-miR-2110","hsa-miR-3184-5p","",""
"COPA","0.000320","0.0528","0.0865","4","hsa-miR-744-5p","hsa-miR-423-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"CUZD1","0.000358","0.0528","0.0167","2","hsa-miR-215-5p","hsa-miR-503-5p","","","","",""
"FAAP100","0.000358","0.0528","0.0167","2","hsa-miR-744-5p","hsa-miR-423-3p","","","","",""
"GCN1","0.000332","0.0528","0.0484","3","hsa-miR-425-3p","hsa-miR-423-3p","hsa-miR-328-3p","","","",""
"LARP1B","0.000358","0.0528","0.0167","2","hsa-miR-215-5p","hsa-miR-423-3p","","","","",""
"LSM4","0.000363","0.0528","0.0893","4","hsa-miR-423-3p","hsa-miR-3173-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"TBX1","0.000358","0.0528","0.0167","2","hsa-miR-1180-3p","hsa-miR-744-5p","","","","",""
"NMI","0.000712","0.0911","0.0223","2","hsa-miR-146a-5p","hsa-miR-215-5p","","","","",""
"NOL12","0.000712","0.0911","0.0223","2","hsa-miR-215-5p","hsa-miR-30e-5p","","","","",""
"RRP12","0.000712","0.0911","0.0223","2","hsa-miR-24-3p","hsa-miR-328-3p","","","","",""
"WRB","0.000712","0.0911","0.0223","2","hsa-miR-425-5p","hsa-miR-24-3p","","","","",""
"ABCB10","0.00118","0.0989","0.0279","2","hsa-miR-215-5p","hsa-miR-24-3p","","","","",""
"AKAP7","0.00118","0.0989","0.0279","2","hsa-miR-215-5p","hsa-miR-24-3p","","","","",""
"ANLN","0.00118","0.0989","0.0279","2","hsa-miR-503-5p","hsa-miR-215-5p","","","","",""
"ATAD1","0.00118","0.0989","0.0279","2","hsa-miR-215-5p","hsa-miR-146b-5p","","","","",""
"ATG4A","0.00175","0.0989","0.0335","2","hsa-miR-215-5p","hsa-miR-24-3p","","","","",""
"ATP5B","0.00145","0.0989","0.0781","3","hsa-miR-744-5p","hsa-miR-324-5p","hsa-miR-24-3p","","","",""
"BIVM","0.00125","0.0989","0.0744","3","hsa-miR-215-5p","hsa-miR-324-5p","hsa-miR-3173-5p","","","",""
"CCDC83","0.00167","0.0989","0.0818","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p","","","",""
"CDKN3","0.000911","0.0989","0.0669","3","hsa-miR-146a-5p","hsa-miR-215-5p","hsa-miR-6741-3p","","","",""
"DDX56","0.00118","0.0989","0.0279","2","hsa-miR-423-3p","hsa-miR-328-3p","","","","",""
"DECR1","0.00167","0.0989","0.0818","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p","","","",""
"EIF3C","0.00167","0.0989","0.0818","3","hsa-miR-425-5p","hsa-miR-423-3p","hsa-miR-361-5p","","","",""
"FAF1","0.00175","0.0989","0.0335","2","hsa-miR-146a-5p","hsa-miR-24-3p","","","","",""
"FANCF","0.000866","0.0989","0.112","4","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-30e-5p","hsa-miR-24-3p","","",""
"HNRNPK","0.00167","0.0989","0.0818","3","hsa-miR-503-5p","hsa-miR-328-3p","hsa-miR-6511a-3p","","","",""
"KIF3B","0.00173","0.0989","0.134","4","hsa-miR-324-5p","hsa-miR-3173-5p","hsa-miR-6750-3p","hsa-miR-3184-5p","","",""
"MCM6","0.00175","0.0989","0.0335","2","hsa-miR-215-5p","hsa-miR-1180-3p","","","","",""
"MFSD6","0.00136","0.0989","0.126","4","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-3074-5p","hsa-miR-361-3p","","",""
"MIF","0.00175","0.0989","0.0335","2","hsa-miR-744-5p","hsa-miR-146a-5p","","","","",""
"MRPL10","0.00145","0.0989","0.0781","3","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","","","",""
"NDE1","0.00107","0.0989","0.0707","3","hsa-miR-215-5p","hsa-miR-744-5p","hsa-miR-423-3p","","","",""
"OGFR","0.00175","0.0989","0.0335","2","hsa-miR-24-3p","hsa-miR-744-5p","","","","",""
"POLD1","0.00175","0.0989","0.0335","2","hsa-miR-24-3p","hsa-miR-324-5p","","","","",""
"POLR2I","0.00118","0.0989","0.0279","2","hsa-miR-1180-3p","hsa-miR-328-3p","","","","",""
"POLR2L","0.00175","0.0989","0.0335","2","hsa-miR-744-5p","hsa-miR-423-3p","","","","",""
"PPAT","0.00175","0.0989","0.0335","2","hsa-miR-215-5p","hsa-miR-425-5p","","","","",""
"PPP1CA","0.00175","0.0989","0.0335","2","hsa-miR-215-5p","hsa-miR-744-5p","","","","",""
"PSMD1","0.00167","0.0989","0.0818","3","hsa-miR-24-3p","hsa-miR-1180-3p","hsa-miR-423-3p","","","",""
"PSMD4","0.00118","0.0989","0.0279","2","hsa-miR-744-5p","hsa-miR-324-5p","","","","",""
"RACK1","0.00107","0.0989","0.0707","3","hsa-miR-1180-3p","hsa-miR-744-5p","hsa-miR-324-5p","","","",""
"RFWD2","0.00175","0.0989","0.0335","2","hsa-miR-24-3p","hsa-miR-1180-3p","","","","",""
"RNF26","0.00118","0.0989","0.0279","2","hsa-miR-215-5p","hsa-miR-324-5p","","","","",""
"SCAMP2","0.000941","0.0989","0.158","5","hsa-miR-744-5p","hsa-miR-24-3p","hsa-miR-328-3p","hsa-miR-3173-5p","hsa-miR-3184-5p","",""
"SLC25A40","0.00175","0.0989","0.0335","2","hsa-miR-215-5p","hsa-miR-328-3p","","","","",""
"SMAD2","0.00136","0.0989","0.172","5","hsa-miR-324-5p","hsa-miR-146a-5p","hsa-miR-503-5p","hsa-miR-361-5p","hsa-miR-425-5p","",""
"TLL1","0.00145","0.0989","0.0781","3","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","","","",""
"TMTC4","0.00118","0.0989","0.0279","2","hsa-miR-215-5p","hsa-miR-24-3p","","","","",""
"TRAP1","0.00107","0.0989","0.0707","3","hsa-miR-1180-3p","hsa-miR-361-3p","hsa-miR-324-5p","","","",""
"TRIM23","0.00125","0.0989","0.0744","3","hsa-miR-215-5p","hsa-miR-324-5p","hsa-miR-30e-5p","","","",""
"UBE2I","0.000911","0.0989","0.0669","3","hsa-miR-30e-5p","hsa-miR-324-5p","hsa-miR-361-3p","","","",""
"WASF2","0.00130","0.0989","0.212","6","hsa-miR-146a-5p","hsa-miR-425-5p","hsa-miR-3184-5p","hsa-miR-24-3p","hsa-miR-3615","hsa-miR-6741-3p",""
"ZNF260","0.00125","0.0989","0.123","4","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-425-3p","hsa-miR-24-3p","","",""
"TGFB1","0.00190","0.106","0.0855","3","hsa-miR-24-3p","hsa-miR-744-5p","hsa-miR-146a-5p","","","",""
"TAB1","0.00202","0.111","0.139","4","hsa-miR-3615","hsa-miR-24-3p","hsa-miR-6511a-3p","hsa-miR-6881-3p","","",""
"COMMD9","0.00216","0.116","0.0893","3","hsa-miR-24-3p","hsa-miR-423-3p","hsa-miR-6741-3p","","","",""
"MYB","0.00216","0.116","0.0893","3","hsa-miR-215-5p","hsa-miR-423-3p","hsa-miR-503-5p","","","",""
